g_ptsx,g_ptsy
0.00E+00,0.999986082
6.90E-07,1.000013923
1.38E-06,0.999986064
2.07E-06,1.000013958
2.76E-06,0.999986012
3.45E-06,1.000014028
4.14E-06,0.999985924
4.83E-06,1.000014134
5.52E-06,0.999985799
6.21E-06,1.000014277
6.90E-06,0.999985638
7.59E-06,1.000014458
8.28E-06,0.999985437
8.97E-06,1.000014678
9.66E-06,0.999985196
1.04E-05,1.000014941
1.10E-05,0.999984912
1.17E-05,1.000015247
1.24E-05,0.999984582
1.31E-05,1.000015601
1.38E-05,0.999984203
1.45E-05,1.000016006
1.52E-05,0.999983771
1.59E-05,1.000016466
1.66E-05,0.999983282
1.73E-05,1.000016986
1.79E-05,0.999982729
1.86E-05,1.000017574
1.93E-05,0.999982106
2.00E-05,1.000018235
2.07E-05,0.999981404
2.14E-05,1.000018979
2.21E-05,0.999980615
2.28E-05,1.000019816
2.35E-05,0.999979726
2.42E-05,1.00002076
2.49E-05,0.999978724
2.55E-05,1.000021826
2.62E-05,0.999977589
2.69E-05,1.000023034
2.76E-05,0.999976302
2.83E-05,1.000024407
2.90E-05,0.999974835
2.97E-05,1.000025977
3.04E-05,0.999973153
3.11E-05,1.000027782
3.18E-05,0.999971212
3.24E-05,1.000029873
3.31E-05,0.999968954
3.38E-05,1.000032316
3.45E-05,0.999966303
3.52E-05,1.000035201
3.59E-05,0.999963153
3.66E-05,1.000038652
3.73E-05,0.999959358
3.80E-05,1.000042845
3.87E-05,0.999954705
3.93E-05,1.000048037
4.00E-05,0.999948877
4.07E-05,1.000054623
4.14E-05,0.999941375
4.21E-05,1.000063244
4.28E-05,0.999931366
4.35E-05,1.000075005
4.42E-05,0.999917347
4.49E-05,1.000092005
4.56E-05,0.99989629
4.63E-05,1.000118789
4.69E-05,0.99986103
4.76E-05,1.000167402
4.83E-05,0.999789491
4.90E-05,1.000283592
4.97E-05,0.99956696
5.04E-05,1.00087431
5.11E-05,0.994239154
5.18E-05,0.96373535
5.25E-05,0.930220855
5.32E-05,0.90344306
5.38E-05,0.892753102
5.45E-05,0.881690973
5.52E-05,0.871355469
5.59E-05,0.860430264
5.66E-05,0.850415815
5.73E-05,0.840075742
5.80E-05,0.830086233
5.87E-05,0.819798084
5.94E-05,0.809725329
6.01E-05,0.799875925
6.08E-05,0.792334906
6.14E-05,0.784727227
6.21E-05,0.777344516
6.28E-05,0.769738035
6.35E-05,0.762343019
6.42E-05,0.754747478
6.49E-05,0.747391588
6.56E-05,0.740794039
6.63E-05,0.734698351
6.70E-05,0.728361569
6.77E-05,0.722224955
6.83E-05,0.715910694
6.90E-05,0.709755712
6.97E-05,0.703461949
7.04E-05,0.697271511
7.11E-05,0.691205212
7.18E-05,0.686134237
7.25E-05,0.680952302
7.32E-05,0.675922262
7.39E-05,0.670744097
7.46E-05,0.665707974
7.52E-05,0.660536027
7.59E-05,0.655493376
7.66E-05,0.650329493
7.73E-05,0.645272032
7.80E-05,0.640200369
7.87E-05,0.635848473
7.94E-05,0.63147479
8.01E-05,0.627197517
8.08E-05,0.622818207
8.15E-05,0.61854026
8.22E-05,0.614163505
8.28E-05,0.609881909
8.35E-05,0.605509993
8.42E-05,0.601221602
8.49E-05,0.596860665
8.56E-05,0.592549527
8.63E-05,0.588456038
8.70E-05,0.584864651
8.77E-05,0.581126433
8.84E-05,0.577519669
8.91E-05,0.57379046
8.97E-05,0.570178318
9.04E-05,0.566452527
9.11E-05,0.562838274
9.18E-05,0.559113484
9.25E-05,0.555499464
9.32E-05,0.551772624
9.39E-05,0.548164215
9.46E-05,0.544421901
9.53E-05,0.541005585
9.60E-05,0.537830167
9.66E-05,0.534709315
9.73E-05,0.53152631
9.80E-05,0.528410202
9.87E-05,0.525224786
9.94E-05,0.522109904
1.00E-04,0.518923923
1.01E-04,0.515809208
1.01E-04,0.51262331
1.02E-04,0.509508363
1.03E-04,0.506322726
1.04E-04,0.503207804
1.04E-04,0.500020294
1.05E-04,0.496932006
1.06E-04,0.494104507
1.06E-04,0.491437007
1.07E-04,0.488680065
1.08E-04,0.486003293
1.08E-04,0.483250105
1.09E-04,0.480571223
1.10E-04,0.477819448
1.10E-04,0.475139516
1.11E-04,0.47238857
1.12E-04,0.469707968
1.13E-04,0.466957549
1.13E-04,0.46427659
1.14E-04,0.461526238
1.15E-04,0.458845922
1.15E-04,0.456092257
1.16E-04,0.453445121
1.17E-04,0.451015246
1.17E-04,0.448708247
1.18E-04,0.446324174
1.19E-04,0.44401128
1.19E-04,0.441629418
1.20E-04,0.439315378
