x,y
0.2,0.99
0.2,0.97
0.2,0.95
0.21,0.92
0.21,0.88
0.21,0.86
0.22,0.84
0.22,0.82
0.23,0.77
0.24,0.75
0.25,0.72
0.26,0.7
0.27,0.68
0.28,0.66
0.29,0.64
0.3,0.62
0.31,0.6
0.32,0.58
0.34,0.55
0.36,0.53
0.37,0.51
0.39,0.49
0.4,0.47
0.42,0.45
0.44,0.44
0.46,0.42
0.47,0.4
0.5,0.39
0.52,0.37
0.54,0.35
0.56,0.34
0.59,0.32
0.61,0.31
0.63,0.29
0.65,0.28
0.68,0.27
0.7,0.26
0.72,0.25
0.75,0.23
0.77,0.22
0.79,0.21
0.81,0.21
0.84,0.2
0.86,0.19
0.88,0.18
0.9,0.17
0.93,0.17
0.95,0.16
0.97,0.15
0.99,0.15
1,0.14
1,0.13
1.1,0.13
1.1,0.12
1.1,0.12
1.1,0.11
1.2,0.11
1.2,0.1
1.2,0.098
1.2,0.095
1.2,0.089
1.3,0.084
1.3,0.08
1.3,0.077
1.3,0.075
1.4,0.074
1.4,0.07
1.4,0.067
1.4,0.064
1.4,0.06
1.5,0.056
1.5,0.051
1.5,0.048
1.5,0.044
1.6,0.042
1.6,0.039
1.6,0.038
1.6,0.036
1.7,0.034
1.7,0.031
1.7,0.03
1.7,0.028
1.7,0.026
1.8,0.022
1.8,0.019
1.8,0.017
1.8,0.015
1.9,0.01
1.9,0.0096
1.9,0.007
1.9,0.0058
1.9,0.0046
2,0.0037
2,0.0031
