g_ptsx,g_ptsy
0.00E+00,0.99998356
6.90E-07,1.00001644
1.38E-06,0.99998354
2.07E-06,1.00001648
2.76E-06,0.99998348
3.45E-06,1.00001656
4.14E-06,0.99998338
4.83E-06,1.00001669
5.52E-06,0.99998323
6.21E-06,1.00001686
6.90E-06,0.99998304
7.59E-06,1.00001707
8.28E-06,0.9999828
8.97E-06,1.00001733
9.66E-06,0.99998252
1.04E-05,1.00001764
1.10E-05,0.99998218
1.17E-05,1.000018
1.24E-05,0.99998179
1.31E-05,1.00001842
1.38E-05,0.99998135
1.45E-05,1.0000189
1.52E-05,0.99998084
1.59E-05,1.00001944
1.66E-05,0.99998026
1.73E-05,1.00002006
1.79E-05,0.99997961
1.86E-05,1.00002075
1.93E-05,0.99997887
2.00E-05,1.00002153
2.07E-05,0.99997804
2.14E-05,1.00002241
2.21E-05,0.99997711
2.28E-05,1.0000234
2.35E-05,0.99997606
2.42E-05,1.00002451
2.49E-05,0.99997488
2.55E-05,1.00002577
2.62E-05,0.99997354
2.69E-05,1.0000272
2.76E-05,0.99997202
2.83E-05,1.00002882
2.90E-05,0.99997028
2.97E-05,1.00003067
3.04E-05,0.9999683
3.11E-05,1.0000328
3.18E-05,0.99996601
3.24E-05,1.00003527
3.31E-05,0.99996334
3.38E-05,1.00003816
3.45E-05,0.99996021
3.52E-05,1.00004156
3.59E-05,0.99995649
3.66E-05,1.00004564
3.73E-05,0.99995201
3.80E-05,1.00005059
3.87E-05,0.99994652
3.93E-05,1.00005672
4.00E-05,0.99993964
4.07E-05,1.0000645
4.14E-05,0.99993078
4.21E-05,1.00007467
4.28E-05,0.99991896
4.35E-05,1.00008856
4.42E-05,0.99990241
4.49E-05,1.00010863
4.56E-05,0.99987755
4.63E-05,1.00014026
4.69E-05,0.99983591
4.76E-05,1.00019766
4.83E-05,0.99975143
4.90E-05,1.00033488
4.97E-05,0.99948863
5.04E-05,1.00103252
5.11E-05,0.99319613
5.18E-05,0.95716832
5.25E-05,0.91758572
5.32E-05,0.88595496
5.38E-05,0.87331467
5.45E-05,0.86023478
5.52E-05,0.8480127
5.59E-05,0.83509688
5.66E-05,0.82328993
5.73E-05,0.81110872
5.80E-05,0.79933893
5.87E-05,0.78721813
5.94E-05,0.77535021
6.01E-05,0.76374893
6.08E-05,0.7548807
6.14E-05,0.74593517
6.21E-05,0.73725459
6.28E-05,0.72831042
6.35E-05,0.71961532
6.42E-05,0.71068402
6.49E-05,0.70203611
6.56E-05,0.69430241
6.63E-05,0.68716722
6.70E-05,0.67974632
6.77E-05,0.67256217
6.83E-05,0.66516814
6.90E-05,0.6579621
6.97E-05,0.65059249
7.04E-05,0.64334418
7.11E-05,0.63624607
7.18E-05,0.63033427
7.25E-05,0.62429189
7.32E-05,0.618429
7.39E-05,0.61239109
7.46E-05,0.60652097
7.52E-05,0.60049045
7.59E-05,0.59461255
7.66E-05,0.58859168
7.73E-05,0.58269597
7.80E-05,0.57678649
7.87E-05,0.57174369
7.94E-05,0.5666778
8.01E-05,0.56172528
8.08E-05,0.55665252
8.15E-05,0.55169925
8.22E-05,0.54662951
8.28E-05,0.54167189
8.35E-05,0.53660794
8.42E-05,0.53164217
8.49E-05,0.52659142
8.56E-05,0.52159824
8.63E-05,0.51687029
8.70E-05,0.51274598
8.77E-05,0.50844685
8.84E-05,0.50430402
8.91E-05,0.50001572
8.97E-05,0.49586644
9.04E-05,0.49158222
9.11E-05,0.48743044
9.18E-05,0.48314738
9.25E-05,0.47899594
9.32E-05,0.47471032
9.39E-05,0.47056578
9.46E-05,0.46626122
9.53E-05,0.46235127
